"species","shape","surface","N","isSurface","isSurface_norm","sd","se","ci","surfaceMatch","surfaceMatchContentW","surfaceMatchContentWRev","surfaceMatchContentWBe","surfaceMatchContentWBeRev","surfaceMatchRev","shapeMatchContentW","shapeMatchContentWRev","shapeMatchContentWBe","shapeMatchContentWBeRev","shapeMatch","shapeMatchRev","surfaceToShapeName","surfaceToShapeNameContent","surfaceToShapeNameContentBe","matchNameability","matchNameabilityContentW","matchNameabilityContentWBe","surfaceMatchRevZ","shapeMatchRevZ","surfaceMatchContentWRevZ","shapeMatchContentWRevZ","surfaceMatchContentWBeRevZ","shapeMatchContentWBeRevZ","matchNameabilityZ","matchNameabilityContentWZ","matchNameabilityContentWBeZ","surfaceMatchInd","surfaceMatchIndRev","surfaceMatchIndCW","surfaceMatchIndCWRev","surfaceMatchIndCWB","surfaceMatchIndCWBRev","shapeMatchInd","shapeMatchIndRev","shapeMatchIndCW","shapeMatchIndCWRev","shapeMatchIndCWB","shapeMatchIndCWBRev","surfaceMatchIndRevZ","shapeMatchIndRevZ","matchNameabilityIndZ","surfaceMatchIndCWRevZ","shapeMatchIndCWRevZ","surfaceMatchIndCWBRevZ","shapeMatchIndCWBRevZ","matchNameabilityIndCWZ","matchNameabilityIndCWBZ","surfaceToShapeNameInd","surfaceToShapeNameIndZ","surfaceMatchIndLen","surfaceMatchIndLenRev","surfaceMatchIndLenCW","surfaceMatchIndLenCWB","shapeMatchIndLen","shapeMatchIndLenCW","shapeMatchIndLenCWB","surfaceToShapeMatchIndLen","surfaceToShapeMatchIndLenCWB","surfaceToShapeMatchIndLenCW"
1,1,1,13,0.692307692307692,0.6,0.380058475033046,0.105409255338946,0.229667037898164,0.631033182503771,0.598044397463002,0.401955602536998,0.595238095238095,0.404761904761905,0.368966817496229,0.708710407239819,0.291289592760181,0.702941176470588,0.297058823529412,0.735087719298246,0.264912280701754,1.39278864882683,1.37991748599109,1.36256482791136,0.316939549098992,0.346622597648589,0.350910364145658,1.49511827768219,0.53940889662917,2.03201225954557,0.988023683309314,1.9956449052975,0.975607729849514,1.01726358715568,1.51001797142744,1.48562631757351,0.627450980392157,0.372549019607843,0.627906976744186,0.372093023255814,0.619047619047619,0.380952380952381,0.733333333333333,0.266666666666667,0.711538461538462,0.288461538461538,0.705882352941177,0.294117647058823,0.996401709978838,0.558075611317031,0.777238660647934,1.20888954291823,0.930216586220331,1.21740562611292,0.908797311347224,1.06955306456928,1.06310146873007,1.39705882352941,0.438326098661806,2.55,-1,2.15,2.1,2.72727272727273,2.36363636363636,2.31818181818182,0.935,0.905882352941176,0.909615384615384
1,1,2,12,0.416666666666667,0.5375,0.293876906822629,0.0848349556313298,0.18672047840159,0.631033182503771,0.598044397463002,0.401955602536998,0.595238095238095,0.404761904761905,0.368966817496229,0.870833333333333,0.129166666666667,0.861904761904762,0.138095238095238,0.848257115446114,0.151742884553886,2.43152631888453,3.11191434222192,2.93103448275862,0.260354851025057,0.265561134601832,0.271428571428571,1.49511827768219,-1.24933311047697,2.03201225954557,-1.37556254572578,1.9956449052975,-1.30673819589204,0.12289258360261,0.328224856909898,0.34445335470273,0.634615384615385,0.365384615384615,0.568181818181818,0.431818181818182,0.571428571428571,0.428571428571429,0.849056603773585,0.150943396226415,0.866666666666667,0.133333333333333,0.857142857142857,0.142857142857143,0.900452192306241,-1.24180339004764,-0.170675598870701,1.94135090798323,-1.29179630543966,1.78141520509971,-1.20575401038343,0.324777301271785,0.287830597358138,2.42067307692308,2.14225558235388,2.6,-1,2.2,2.1,2.94444444444444,2.5,2.33333333333333,0.883018867924528,0.9,0.88
1,2,1,13,0.538461538461538,0.542307692307692,0.281934707844174,0.0781946188819329,0.170371438830895,0.69047619047619,0.715909090909091,0.284090909090909,0.719512195121951,0.280487804878049,0.30952380952381,0.708710407239819,0.291289592760181,0.702941176470588,0.297058823529412,0.735087719298246,0.264912280701754,1.16840113528855,0.975286849073257,0.944216372856798,0.287218045112782,0.287690250925545,0.28877331420373,0.240143040573475,0.53940889662917,0.167248770959545,0.988023683309314,0.0365785537993808,0.975607729849514,0.389775968601322,0.577636227134429,0.506093141824447,0.714285714285714,0.285714285714286,0.75,0.25,0.75609756097561,0.24390243902439,0.736842105263158,0.263157894736842,0.705882352941177,0.294117647058823,0.7,0.3,-0.166535301210833,0.503502621001054,0.168483659895111,-0.288442982126159,1.01123309904216,-0.405841454873459,0.991029862747862,0.361395058458,0.292594203937201,1.08571428571429,-0.670037922211888,2.45,-1,2.2,2.05,2.59090909090909,2.31818181818182,2.27272727272727,0.945614035087719,0.902,0.949019607843137
1,2,2,12,0.5,0.475,0.339339822525319,0.0979589689408764,0.215606236936747,0.69047619047619,0.715909090909091,0.284090909090909,0.719512195121951,0.280487804878049,0.30952380952381,0.870833333333333,0.129166666666667,0.861904761904762,0.138095238095238,0.848257115446114,0.151742884553886,2.03979125896934,2.19941348973607,2.03111858704794,0.230633347038848,0.206628787878788,0.209291521486643,0.240143040573475,-1.24933311047697,0.167248770959545,-1.37556254572578,0.0365785537993808,-1.30673819589204,-0.504595034951747,-0.604156887383115,-0.635079821046332,0.666666666666667,0.333333333333333,0.681818181818182,0.318181818181818,0.682926829268293,0.317073170731707,0.847457627118644,0.152542372881356,0.875,0.125,0.866666666666667,0.133333333333333,0.471204350086729,-1.21693402285856,-0.372864836385915,0.547729726664864,-1.41116063433049,0.460807410398929,-1.33889242693685,-0.431715453832812,-0.43904250826896,2.18518518518518,1.68813837294529,2.4,-2,2.2,2.05,3.27777777777778,2.66666666666667,2.5,0.732203389830508,0.82,0.825
2,1,1,12,0.583333333333333,0.5375,0.36721721752729,0.106006479695223,0.233318688682742,0.680124223602484,0.721116816431322,0.278883183568678,0.717763157894737,0.282236842105263,0.319875776397516,0.799090909090909,0.200909090909091,0.799090909090909,0.200909090909091,0.777472527472527,0.222527472527473,1.43746645195921,1.3881063435545,1.40479876160991,0.271201624462494,0.239896137238884,0.241572966507177,0.458696282157387,-0.130520337113599,0.0848561890208617,-0.329631473156942,0.0641505095210933,-0.404877932371547,0.164087972521894,-0.12238764206804,-0.170363711425227,0.717391304347826,0.282608695652174,0.731707317073171,0.268292682926829,0.725,0.275,0.769230769230769,0.230769230769231,0.818181818181818,0.181818181818182,0.818181818181818,0.181818181818182,-0.208127017599804,-0.000248058838734246,-0.104187538219269,-0.064103962694421,-0.597312937347584,-0.0375156871326938,-0.661096851755842,-0.330708450021002,-0.349306269444268,1.22463768115942,-0.20787895876107,2.3,0,2.05,2,2.6,2.2,2.2,0.884615384615384,0.909090909090909,0.931818181818182
2,1,2,13,0.384615384615385,0.35,0.258198889747161,0.0716114874039433,0.156028027507265,0.680124223602484,0.721116816431322,0.278883183568678,0.717763157894737,0.282236842105263,0.319875776397516,0.740522875816993,0.259477124183007,0.732142857142857,0.267857142857143,0.734492481203007,0.265507518796993,1.20477106579454,1.07478909536543,1.05368421052632,0.292691647597254,0.269180153875842,0.275046992481203,0.458696282157387,0.548817159122601,0.0848561890208617,0.524230471254593,0.0641505095210933,0.556339777852054,0.503756720639994,0.304543330137727,0.310245143686574,0.642857142857143,0.357142857142857,0.710526315789474,0.289473684210526,0.710526315789474,0.289473684210526,0.736842105263158,0.263157894736842,0.755555555555556,0.244444444444444,0.75,0.25,0.790074175735508,0.503502621001054,0.646788398368281,0.195657007173907,0.299728079771353,0.133913540164607,0.292053175842449,0.24769254347263,0.212983358003528,1.35714285714286,0.286571554734454,2.1,0,1.9,1.9,2.85,2.25,2.2,0.736842105263158,0.863636363636364,0.844444444444444
2,2,1,12,0.0833333333333333,0.183333333333333,0.402015126103685,0.116051770637132,0.255428224974686,0.68166144200627,0.700680272108844,0.299319727891156,0.688232739904472,0.311767260095528,0.31833855799373,0.799090909090909,0.200909090909091,0.799090909090909,0.200909090909091,0.777472527472527,0.222527472527473,1.43055845814466,1.48982669991073,1.55178274255692,0.270433015260601,0.250114409400124,0.256338175502309,0.426242153461994,-0.130520337113599,0.408187294979742,-0.329631473156942,0.529670262104046,-0.404877932371547,0.147860908174198,0.0392779109113999,0.0623961648662494,0.672413793103448,0.327586206896552,0.666666666666667,0.333333333333333,0.653061224489796,0.346938775510204,0.785714285714286,0.214285714285714,0.78,0.22,0.78,0.22,0.39423577148185,-0.256621172685768,0.068807299398041,0.73354588417398,-0.0504072849750709,0.814541641122354,-0.127332836300799,0.341569299599455,0.343604402410777,1.52873563218391,0.650856944167618,2.9,-2,2.55,2.45,2.8,2.5,2.5,1.03571428571429,0.98,1.02
2,2,2,13,0.307692307692308,0.292307692307692,0.352039236352461,0.097638116741845,0.212735181421678,0.68166144200627,0.700680272108844,0.299319727891156,0.688232739904472,0.311767260095528,0.31833855799373,0.740522875816993,0.259477124183007,0.732142857142857,0.267857142857143,0.734492481203007,0.265507518796993,1.19898132993037,1.15354958104148,1.16393110435664,0.291923038395361,0.279398426037081,0.289812201476335,0.426242153461994,0.548817159122601,0.408187294979742,0.524230471254593,0.529670262104046,0.556339777852054,0.487529656292298,0.466208883117168,0.54300501997805,0.690909090909091,0.309090909090909,0.73469387755102,0.26530612244898,0.723404255319149,0.276595744680851,0.732142857142857,0.267857142857143,0.725490196078431,0.274509803921569,0.714285714285714,0.285714285714286,0.146536891244333,0.576591447317095,0.361564169280714,-0.100730741377154,0.730375854593157,-0.0186153661347329,0.791322237917743,0.314822556608001,0.386353435891505,1.15393939393939,-0.430054556072762,2.75,-3,2.45,2.35,2.8,2.55,2.45,0.982142857142857,0.959183673469388,0.96078431372549
3,1,1,13,0.384615384615385,0.253846153846154,0.248069469178417,0.0688020916153781,0.149906879919526,0.787375415282392,0.812588904694168,0.187411095305832,0.812908496732026,0.187091503267974,0.212624584717608,0.846001134429949,0.153998865570051,0.839939024390244,0.160060975609756,0.841032608695652,0.158967391304348,1.33753584916376,1.21696412900251,1.16887643946467,0.185795988010978,0.170704980437942,0.173576239438865,-1.80561695332246,-1.13514341657519,-1.36234403209789,-1.01353451687781,-1.43572783996784,-0.99136149257197,-1.47038018494882,-1.18793927448785,-1.21354466626991,0.86046511627907,0.13953488372093,0.868421052631579,0.131578947368421,0.861111111111111,0.138888888888889,0.8125,0.1875,0.813953488372093,0.186046511627907,0.804878048780488,0.195121951219512,-2.12424771914753,-0.673227482687199,-1.39873760091737,-1.74074295002636,-0.536747527339553,-1.64964306706994,-0.475116358565932,-1.13874523868295,-1.06237971281794,0.744186046511628,-1.45102023646033,2.15,-2,1.9,1.8,2.52631578947368,2.26315789473684,2.15789473684211,0.851041666666667,0.834146341463415,0.83953488372093
3,1,2,12,0.416666666666667,0.370833333333333,0.300672646584355,0.0867967167217173,0.191038285449177,0.787375415282392,0.812588904694168,0.187411095305832,0.812908496732026,0.187091503267974,0.212624584717608,0.734166666666667,0.265833333333333,0.730804810360777,0.269195189639223,0.745117510758027,0.254882489241973,0.834206325236226,0.704994715884008,0.695003144442198,0.23375353697979,0.226622214319583,0.228143346453598,-1.80561695332246,0.380879206471735,-1.36234403209789,0.616897491142414,-1.43572783996784,0.575551005462398,-0.712368873425361,-0.372723270477736,-0.430088417252723,0.714285714285714,0.285714285714286,0.756756756756757,0.243243243243243,0.764705882352941,0.235294117647059,0.735849056603774,0.264150943396226,0.708333333333333,0.291666666666667,0.695652173913043,0.304347826086957,-0.166535301210833,0.518947806939539,0.176206252864353,-0.371306944258603,0.976125943486034,-0.507800144905504,1.0518104442179,0.302409499613715,0.272005149656197,1.08163265306122,-0.685483108150372,2.1,-2,1.85,1.7,2.52380952380952,2.28571428571429,2.19047619047619,0.832075471698113,0.776086956521739,0.809375
3,2,1,13,0.0769230769230769,0.176923076923077,0.266345960998418,0.0738710784148099,0.160951253391542,0.698057332385691,0.77003367003367,0.22996632996633,0.761248185776488,0.238751814223512,0.301942667614309,0.846001134429949,0.153998865570051,0.839939024390244,0.160060975609756,0.841032608695652,0.158967391304348,1.89940002875326,1.49329885720309,1.49163038219642,0.230455029459329,0.19198259776819,0.199406394916634,0.0800881293239624,-1.13514341657519,-0.689068214523185,-1.01353451687781,-0.621350773503389,-0.99136149257197,-0.527527643625615,-0.851301365700497,-0.806356133037679,0.761194029850746,0.238805970149254,0.836363636363636,0.163636363636364,0.830188679245283,0.169811320754717,0.869565217391304,0.130434782608696,0.878048780487805,0.121951219512195,0.875,0.125,-0.794756450250221,-1.56078005616851,-1.17776825320937,-1.34759507992812,-1.45483051075396,-1.28339156373418,-1.45538854142108,-1.40121279534104,-1.36939005257763,1.83084577114428,0.766023605918288,3.35,-1,2.75,2.65,2.42105263157895,2.15789473684211,2.10526315789474,1.38369565217391,1.25875,1.27439024390244
3,2,2,12,0.0833333333333333,0.1625,0.249241272908826,0.071949758003538,0.158360349637972,0.698057332385691,0.77003367003367,0.22996632996633,0.761248185776488,0.238751814223512,0.301942667614309,0.734166666666667,0.265833333333333,0.730804810360777,0.269195189639223,0.745117510758027,0.254882489241973,1.18463480371796,0.865077103321617,0.886909660397309,0.278412578428141,0.247899831649832,0.253973501931368,0.0800881293239624,0.380879206471735,-0.689068214523185,0.616897491142414,-0.621350773503389,0.575551005462398,0.230483667897849,-0.0360853616903856,-0.0228998840204954,0.634920634920635,0.365079365079365,0.703703703703704,0.296296296296296,0.692307692307692,0.307692307692308,0.754385964912281,0.245614035087719,0.76,0.24,0.765957446808511,0.234042553191489,0.896364117618436,0.230637669421169,0.563500893519802,0.279328610262807,0.236067104362912,0.349698581517854,0.0689755098088063,0.257697857312859,0.20933704566333,1.48639455782313,0.665726448197268,3.15,-1,2.7,2.6,2.71428571428571,2.38095238095238,2.23809523809524,1.16052631578947,1.16170212765957,1.134
4,1,1,13,0.0769230769230769,0.157692307692308,0.261488180184245,0.0725237724293895,0.15801572582502,0.696078431372549,0.730436991869919,0.269563008130081,0.724202127659574,0.275797872340426,0.303921568627451,0.827651515151515,0.172348484848485,0.826065891472868,0.173934108527132,0.811646063760573,0.188353936239427,1.61356632463003,1.56405789332619,1.58564570615777,0.246137752433439,0.220955746489283,0.224865990433779,0.121867168657475,-0.670663184654482,-0.0626003762741615,-0.746015860019086,-0.0373538990113079,-0.792175695996218,-0.274398007998504,-0.404308118146624,-0.414764797503763,0.725490196078431,0.274509803921569,0.729166666666667,0.270833333333333,0.723404255319149,0.276595744680851,0.830188679245283,0.169811320754717,0.791666666666667,0.208333333333333,0.791666666666667,0.208333333333333,-0.316591689751435,-0.948344857216447,-0.632468273483941,-0.0329457655511238,-0.217517345422227,-0.0186153661347329,-0.290427396578728,-0.125231555486675,-0.154521381356731,1.61655773420479,0.631753167465012,2.55,-5,2.4,2.35,2.65,2.4,2.4,0.962264150943396,0.979166666666667,1
4,1,2,13,0.230769230769231,0.234615384615385,0.17046943731892,0.0472797151656045,0.103013649985831,0.696078431372549,0.730436991869919,0.269563008130081,0.724202127659574,0.275797872340426,0.303921568627451,0.684869976359338,0.315130023640662,0.674242424242424,0.325757575757576,0.660612535612536,0.339387464387464,0.895500277760632,0.855402493916162,0.846635329045027,0.321654516507458,0.292346515885372,0.300777724049001,0.121867168657475,1.71655478659674,-0.0626003762741615,1.33559275007329,-0.0373538990113079,1.38765480366781,0.919210977627105,0.636496186899564,0.675150452328253,0.666666666666667,0.333333333333333,0.731707317073171,0.268292682926829,0.725,0.275,0.673076923076923,0.326923076923077,0.680851063829787,0.319148936170213,0.666666666666667,0.333333333333333,0.471204350086729,1.49526177193563,0.983233061011181,-0.064103962694421,1.36977426216855,-0.0375156871326938,1.4570143206848,0.652835149737063,0.709749316776055,1.01960784313726,-1.02405742184891,2.4,-4,2.05,2,2.6,2.35,2.25,0.923076923076923,0.888888888888889,0.872340425531915
4,2,1,12,0.166666666666667,0.204166666666667,0.432866881816728,0.124957905370081,0.275030495355684,0.75,0.763031914893617,0.236968085106383,0.755555555555556,0.244444444444444,0.25,0.827651515151515,0.172348484848485,0.826065891472868,0.173934108527132,0.811646063760573,0.188353936239427,1.3272884283247,1.37493570259528,1.40538532961931,0.219176968119714,0.204658284977434,0.209189276485788,-1.01653809853403,-0.670663184654482,-0.578291891610485,-0.746015860019086,-0.531611718239483,-0.792175695996218,-0.843600641594255,-0.662153875814786,-0.661893707117851,0.833333333333333,0.166666666666667,0.851063829787234,0.148936170212766,0.844444444444444,0.155555555555556,0.793103448275862,0.206896551724138,0.863636363636364,0.136363636363636,0.86046511627907,0.13953488372093,-1.76088442945474,-0.371547051306853,-1.06621574038079,-1.52787628806462,-1.24839109493391,-1.45223971442456,-1.25219764406486,-1.38813369149927,-1.35221867924471,0.805555555555555,-1.38933737814788,2.7,-2,2.35,2.25,2.9,2.2,2.15,0.931034482758621,1.04651162790698,1.06818181818182
4,2,2,12,0.666666666666667,0.5375,0.33257489473209,0.0960061024996417,0.211308006879948,0.75,0.763031914893617,0.236968085106383,0.755555555555556,0.244444444444444,0.25,0.684869976359338,0.315130023640662,0.674242424242424,0.325757575757576,0.660612535612536,0.339387464387464,0.736621196222455,0.751969242310577,0.750387596899225,0.294693732193732,0.276049054373522,0.28510101010101,-1.01653809853403,1.71655478659674,-0.578291891610485,1.33559275007329,-0.531611718239483,1.38765480366781,0.350008344031354,0.378650429231402,0.428021542714165,0.666666666666667,0.333333333333333,0.675,0.325,0.666666666666667,0.333333333333333,0.648148148148148,0.351851851851852,0.688888888888889,0.311111111111111,0.681818181818182,0.318181818181818,0.471204350086729,1.88298654287714,1.17709544648193,0.631346997543965,1.25464271089796,0.653396047126127,1.24520320344074,0.942994854220964,0.949299625283433,0.947368421052632,-1.41178219279041,2.25,-2,2,1.95,2.7,2.25,2.2,0.833333333333333,0.886363636363636,0.888888888888889
